"","ECLAC/CELADE Redatam+SP 6/23/2023","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69","...70","...71","...72","...73","...74","...75","...76","...77","...78","...79","...80","...81","...82","...83","...84","...85","...86","...87","...88","...89","...90","...91","...92","...93","...94"
"1343",NA,"Total","1737","1845","1926","2037","2307","2125","2280","2130","2031","2025","2120","2058","2247","2366","2137","2169","1959","1877","1998","1651","1952","1685","1736","1746","1536","1932","1528","1564","1778","1486","1949","1382","1465","1593","1300","1733","1319","1391","1700","1327","1634","1095","1639","1358","1259","1653","1319","1155","1334","1072","1314","1027","1041","1193","925","1142","890","758","846","687","912","563","595","639","490","722","495","538","430","277","444","229","261","266","278","489","242","201","264","136","236","110","129","143","116","126","92","65","43","29","140","106168"
"1344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1345",NA,"AREA # 070108","Shwegyin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1347",NA,"Disability hearing","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1348",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"1349",NA,"No - no difficulty","1084","1133","1222","1244","1308","1307","1259","1237","1250","1200","1230","1168","1191","1164","1115","1023","1059","933","1160","930","1172","873","951","847","810","958","796","757","897","735","1043","679","793","716","633","806","593","620","716","669","788","572","801","591","558","765","592","502","668","457","635","426","491","480","395","539","393","340","323","277","434","233","232","230","167","288","161","197","132","92","189","67","110","100","88","144","79","40","71","36","78","24","31","43","33","38","20","9","12","4","32","53288"
"1350",NA,"Yes - some difficulty","6","6","7","9","1","2","3","3","4","2","1","5","6","4","2","3","5","2","2","1","4","1","3","2","-","2","5","2","1","3","9","4","2","5","3","8","5","5","7","7","8","6","10","9","12","13","3","2","8","9","19","9","13","13","15","18","17","17","14","11","25","19","11","16","11","35","21","13","25","21","25","13","15","23","17","41","19","9","14","13","23","11","12","13","9","12","14","7","8","7","27","907"
"1351",NA,"Yes - a lot of difficulty","3","2","-","-","-","-","1","-","-","3","1","-","-","2","2","1","-","1","-","-","-","-","1","-","-","-","-","1","-","-","3","1","1","1","-","-","-","1","-","1","2","3","1","1","1","4","1","1","-","-","-","-","2","3","2","-","2","1","2","2","1","-","1","2","1","6","2","4","-","1","6","2","2","5","2","8","4","2","1","3","8","-","-","6","2","4","1","-","-","-","5","133"
"1352",NA,"Yes - cannot hear at all","-","-","-","-","-","1","-","-","1","-","-","-","1","1","-","1","-","-","-","-","-","1","-","1","-","1","-","-","1","-","2","1","-","-","-","-","-","-","1","-","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","1","1","-","-","1","-","-","1","2","-","1","1","2","-","1","-","1","-","-","-","2","2","-","-","-","1","1","-","-","-","-","1","-","1","1","6","42"
"1353",NA,"Total","1093","1141","1229","1253","1309","1310","1263","1240","1255","1205","1232","1173","1198","1171","1119","1028","1064","936","1162","931","1176","875","955","850","810","961","801","760","899","738","1057","685","796","722","636","814","598","626","724","677","799","581","813","601","571","782","596","505","676","466","654","435","506","496","412","558","413","358","339","291","460","252","245","250","179","330","185","216","157","115","220","83","127","128","107","195","104","51","86","52","110","36","43","62","44","54","36","16","21","12","70","54370"
"1354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1355",NA,"AREA # 070201","Toungoo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1357",NA,"Disability hearing","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1358",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"1359",NA,"No - no difficulty","2150","2119","2281","2349","2580","2243","2336","2449","2338","2378","2400","2376","2554","2685","2649","2293","2401","2791","3072","2572","2751","2305","2253","2249","2155","2324","2000","2020","2266","1979","2551","1813","2023","2055","1858","2161","1855","1812","2113","1764","2197","1612","2057","1901","1810","2071","1609","1556","1750","1434","1765","1250","1389","1420","1245","1486","1229","1082","1150","914","1257","719","826","793","703","986","672","751","565","401","655","289","366","389","357","592","343","240","301","158","282","132","182","168","159","157","110","93","55","32","178","135161"
"1360",NA,"Yes - some difficulty","6","3","2","-","6","2","8","2","6","3","6","6","9","8","10","9","4","6","-","4","4","2","8","3","5","10","5","1","9","8","6","3","10","6","7","7","9","8","16","10","16","10","16","10","14","19","13","11","16","19","18","9","19","19","20","22","21","19","23","19","24","17","21","20","16","43","25","30","29","22","38","17","26","17","28","64","32","25","34","19","49","24","31","32","36","38","26","13","13","11","46","1436"
"1361",NA,"Yes - a lot of difficulty","5","1","-","-","1","1","-","2","-","4","1","-","1","-","-","2","2","3","1","2","3","2","1","1","-","-","1","-","1","-","3","-","2","-","1","-","1","1","2","1","-","1","1","-","2","1","-","1","2","1","3","3","1","-","1","1","4","2","3","1","4","3","4","1","3","2","2","2","3","2","6","-","4","8","6","8","2","4","7","2","9","4","3","5","7","9","2","1","8","3","11","209"
"1362",NA,"Yes - cannot hear at all","2","-","2","1","2","2","-","2","1","3","1","2","-","-","2","2","1","2","2","3","2","1","-","1","-","-","2","1","2","2","-","1","3","2","1","1","-","1","1","-","1","1","-","-","1","-","1","-","2","-","-","-","1","-","1","-","-","1","2","1","2","-","4","-","1","2","-","2","2","4","1","-","1","-","1","1","3","1","1","-","1","-","2","2","1","1","4","3","-","-","5","108"
"1363",NA,"Total","2163","2123","2285","2350","2589","2248","2344","2455","2345","2388","2408","2384","2564","2693","2661","2306","2408","2802","3075","2581","2760","2310","2262","2254","2160","2334","2008","2022","2278","1989","2560","1817","2038","2063","1867","2169","1865","1822","2132","1775","2214","1624","2074","1911","1827","2091","1623","1568","1770","1454","1786","1262","1410","1439","1267","1509","1254","1104","1178","935","1287","739","855","814","723","1033","699","785","599","429","700","306","397","414","392","665","380","270","343","179","341","160","218","207","203","205","142","110","76","46","240","136914"
"1364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1365",NA,"AREA # 070202","Yaedashe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1367",NA,"Disability hearing","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1368",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"1369",NA,"No - no difficulty","2011","1877","1853","2105","2344","2227","2211","2153","2121","2130","2216","2048","2262","2194","2112","2051","1794","1849","1983","1698","2069","1720","1909","1815","1690","2044","1704","1722","1977","1690","2174","1642","1661","1704","1459","1835","1509","1518","1679","1396","1592","1198","1603","1356","1331","1630","1220","1253","1349","1097","1375","892","1030","1092","959","1216","959","822","902","692","981","569","607","593","514","744","460","486","386","268","472","203","251","273","239","448","203","154","183","127","241","92","121","108","111","118","75","45","28","34","124","108982"
"1370",NA,"Yes - some difficulty","2","1","1","3","2","6","3","4","4","5","4","4","2","2","3","2","7","4","5","-","1","3","5","4","6","8","5","3","6","3","5","7","3","9","5","11","11","7","9","4","5","4","8","6","12","7","15","8","7","7","12","9","11","13","8","14","17","20","20","13","32","10","17","15","20","27","25","26","15","14","23","7","16","24","13","49","31","24","30","18","42","23","21","21","17","30","23","10","9","7","40","1074"
"1371",NA,"Yes - a lot of difficulty","-","1","-","-","1","2","-","1","-","1","1","1","1","-","1","1","-","2","2","2","3","-","-","2","2","-","-","1","1","1","1","2","3","3","-","-","1","1","-","-","-","1","2","1","1","2","-","1","-","-","3","-","1","-","1","2","2","-","1","-","1","3","1","2","3","4","3","-","2","3","-","3","2","2","8","6","2","1","6","2","2","2","2","8","5","2","3","-","2","2","11","149"
"1372",NA,"Yes - cannot hear at all","-","-","-","-","-","4","1","1","2","1","1","2","1","2","2","1","-","-","2","1","1","1","2","1","1","1","1","2","1","3","1","1","1","1","-","2","1","1","-","-","1","1","2","-","1","1","1","1","2","-","1","3","-","1","-","3","-","-","-","-","1","-","1","2","-","1","1","2","-","-","-","-","1","-","2","2","1","1","3","-","1","-","1","1","2","1","-","-","-","-","5","90"
"1373",NA,"Total","2013","1879","1854","2108","2347","2239","2215","2159","2127","2137","2222","2055","2266","2198","2118","2055","1801","1855","1992","1701","2074","1724","1916","1822","1699","2053","1710","1728","1985","1697","2181","1652","1668","1717","1464","1848","1522","1527","1688","1400","1598","1204","1615","1363","1345","1640","1236","1263","1358","1104","1391","904","1042","1106","968","1235","978","842","923","705","1015","582","626","612","537","776","489","514","403","285","495","213","270","299","262","505","237","180","222","147","286","117","145","138","135","151","101","55","39","43","180","110295"
"1374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1375",NA,"AREA # 070203","Kyaukkyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1377",NA,"Disability hearing","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1378",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"1379",NA,"No - no difficulty","1067","1156","1251","1282","1360","1381","1511","1427","1355","1343","1571","1285","1459","1404","1371","1206","1194","1024","1153","907","1159","762","874","838","796","1084","782","798","919","695","1080","629","804","747","583","930","631","670","799","633","1032","558","846","712","579","936","624","575","658","502","795","424","501","494","421","626","487","298","385","287","552","215","245","235","218","422","164","221","165","100","331","91","119","134","107","262","88","73","108","42","152","33","51","48","33","67","29","36","16","13","58","58088"
"1380",NA,"Yes - some difficulty","5","12","2","1","1","1","1","1","6","6","4","6","3","7","4","5","1","3","2","1","3","1","1","1","-","7","-","1","1","2","5","3","3","5","4","8","-","5","7","1","6","7","6","4","3","14","8","4","5","3","15","6","13","7","10","7","16","8","8","7","42","8","10","12","10","36","10","18","11","3","32","7","9","13","11","29","15","8","27","9","41","4","10","7","12","12","11","13","6","-","32","755"
"1381",NA,"Yes - a lot of difficulty","-","-","1","-","1","1","-","-","-","-","1","2","1","1","-","1","-","-","2","-","-","-","1","-","-","1","-","1","1","-","1","1","1","3","2","-","-","-","-","1","1","-","1","4","1","1","-","1","-","-","-","1","3","-","1","3","1","-","3","-","3","2","2","1","1","6","1","-","6","1","5","1","2","2","1","5","1","2","4","1","7","2","1","1","5","6","1","2","1","-","7","125"
"1382",NA,"Yes - cannot hear at all","3","-","1","1","1","-","3","-","4","-","1","2","2","2","-","1","1","-","1","1","1","4","-","1","-","1","-","1","-","-","1","1","2","1","-","-","-","-","1","-","-","-","1","-","1","1","-","-","-","-","1","1","2","-","-","-","-","-","-","-","-","1","2","-","1","3","1","1","1","-","3","-","-","-","-","1","-","1","1","1","-","-","-","2","-","3","1","-","1","-","5","74"
"1383",NA,"Total","1075","1168","1255","1284","1363","1383","1515","1428","1365","1349","1577","1295","1465","1414","1375","1213","1196","1027","1158","909","1163","767","876","840","796","1093","782","801","921","697","1087","634","810","756","589","938","631","675","807","635","1039","565","854","720","584","952","632","580","663","505","811","432","519","501","432","636","504","306","396","294","597","226","259","248","230","467","176","240","183","104","371","99","130","149","119","297","104","84","140","53","200","39","62","58","50","88","42","51","24","13","102","59042"
"1384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1385",NA,"AREA # 070204","Pyu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1387",NA,"Disability hearing","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1388",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"1389",NA,"No - no difficulty","2169","2430","2540","2600","2749","2578","2836","2874","2729","2564","2783","2628","2901","2933","2826","2587","2438","2504","2648","2148","2616","1978","2216","2192","2223","2468","1981","2071","2283","1967","2457","1744","1935","1862","1716","2153","1676","1764","2025","1632","2058","1312","1806","1664","1574","1953","1572","1499","1605","1344","1691","1244","1383","1370","1242","1543","1213","1065","1141","879","1194","670","722","748","580","736","564","615","513","336","575","231","290","408","345","559","310","260","258","166","301","172","174","115","126","164","97","77","48","41","190","134167"
"1390",NA,"Yes - some difficulty","3","-","3","5","2","3","7","2","5","5","7","7","5","2","8","7","7","4","8","3","7","2","1","4","4","6","3","4","9","4","12","4","5","5","5","8","10","6","11","3","11","6","14","6","10","10","14","11","13","14","21","13","24","25","15","26","32","21","28","26","35","24","34","33","21","28","29","37","40","24","43","25","29","35","40","71","51","23","50","19","66","31","34","45","21","46","19","23","12","13","56","1603"
"1391",NA,"Yes - a lot of difficulty","-","-","1","-","-","-","1","1","1","1","1","1","-","-","1","3","1","1","2","-","1","-","2","2","1","2","2","-","2","2","-","-","-","1","1","2","2","2","-","-","3","1","2","1","1","1","2","-","2","2","2","2","-","1","1","4","1","4","3","1","2","2","2","2","2","6","4","2","2","2","7","5","2","4","8","14","3","5","9","9","12","5","5","3","8","6","2","5","3","6","20","238"
"1392",NA,"Yes - cannot hear at all","2","1","1","2","2","2","1","-","2","1","2","2","1","1","2","-","2","-","-","3","4","3","3","1","-","1","-","2","-","-","4","-","1","4","1","3","1","1","2","1","1","-","1","2","4","3","-","-","-","-","2","4","-","3","3","3","1","4","1","-","-","-","1","1","2","2","1","2","-","-","3","1","-","1","2","4","-","4","2","2","3","1","-","5","3","2","1","-","-","1","7","142"
"1393",NA,"Total","2174","2431","2545","2607","2753","2583","2845","2877","2737","2571","2793","2638","2907","2936","2837","2597","2448","2509","2658","2154","2628","1983","2222","2199","2228","2477","1986","2077","2294","1973","2473","1748","1941","1872","1723","2166","1689","1773","2038","1636","2073","1319","1823","1673","1589","1967","1588","1510","1620","1360","1716","1263","1407","1399","1261","1576","1247","1094","1173","906","1231","696","759","784","605","772","598","656","555","362","628","262","321","448","395","648","364","292","319","196","382","209","213","168","158","218","119","105","63","61","273","136150"
"1394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1395",NA,"AREA # 070205","Oatwin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
