"","ECLAC/CELADE Redatam+SP 6/23/2023","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69","...70","...71","...72","...73","...74","...75","...76","...77","...78","...79","...80","...81","...82","...83","...84","...85","...86","...87","...88","...89","...90","...91","...92","...93","...94"
"671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"672",NA,"Disability walking","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"673",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"674",NA,"No - no difficulty","2023","1985","2113","2172","2319","2172","2387","2421","2456","2368","2615","2548","2748","2877","2948","2740","2730","3013","3218","2628","3195","2668","2681","2551","2290","2900","2422","2578","2750","2513","3194","2342","2587","2756","2279","3054","2200","2393","2586","2130","2817","1852","2564","2496","1931","2952","1980","2282","2186","1751","2433","1638","1841","1977","1538","2181","1481","1551","1485","1081","1598","1026","1050","1151","897","1492","823","1167","777","549","969","492","588","614","458","948","438","474","490","312","470","266","273","292","189","293","158","160","113","78","328","161500"
"675",NA,"Yes - some difficulty","16","11","7","5","7","5","4","2","2","1","5","4","5","5","4","2","3","2","-","4","4","6","3","1","4","5","3","4","6","4","6","1","2","6","6","5","5","8","3","8","9","4","11","7","6","12","16","6","11","9","19","10","20","20","10","26","24","22","22","14","26","20","22","18","24","46","20","47","37","26","54","35","40","44","31","66","30","41","53","34","69","41","30","29","30","55","35","34","26","20","79","1624"
"676",NA,"Yes - a lot of difficulty","7","3","4","6","3","-","2","4","3","1","2","4","3","5","-","1","-","1","2","-","1","1","-","-","2","1","1","-","-","2","2","1","-","2","-","1","1","2","-","1","3","1","-","1","3","5","4","1","6","3","2","4","4","-","5","6","2","-","6","1","3","3","8","1","3","4","8","3","3","4","16","2","8","5","4","16","7","7","15","7","25","4","6","11","7","15","11","5","9","2","38","386"
"677",NA,"Yes - cannot walk at all","3","-","2","-","2","3","2","1","5","4","4","1","2","-","2","1","1","1","1","1","-","-","-","-","1","2","-","-","1","1","2","1","-","1","1","1","-","-","1","-","1","-","1","1","1","1","-","3","2","3","2","1","1","3","1","2","-","6","4","-","5","3","2","1","2","5","1","6","5","3","6","2","2","9","3","7","4","8","7","2","17","4","7","11","7","6","2","3","3","3","37","264"
"678",NA,"Total","2049","1999","2126","2183","2331","2180","2395","2428","2466","2374","2626","2557","2758","2887","2954","2744","2734","3017","3221","2633","3200","2675","2684","2552","2297","2908","2426","2582","2757","2520","3204","2345","2589","2765","2286","3061","2206","2403","2590","2139","2830","1857","2576","2505","1941","2970","2000","2292","2205","1766","2456","1653","1866","2000","1554","2215","1507","1579","1517","1096","1632","1052","1082","1171","926","1547","852","1223","822","582","1045","531","638","672","496","1037","479","530","565","355","581","315","316","343","233","369","206","202","151","103","482","163774"
"679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680",NA,"AREA # 050102","Myinmu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"682",NA,"Disability walking","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"683",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"684",NA,"No - no difficulty","690","678","720","793","802","769","820","832","744","817","934","857","853","891","899","849","748","876","871","789","1081","870","897","877","820","1048","785","983","897","906","1234","776","904","902","826","1244","727","921","986","789","1071","688","1015","901","707","1145","721","881","743","616","957","628","685","719","601","918","512","584","585","394","667","375","463","465","317","661","295","429","292","190","431","155","222","195","148","430","135","177","195","81","216","79","117","106","64","92","35","49","33","29","100","57019"
"685",NA,"Yes - some difficulty","9","7","2","1","-","1","-","2","-","2","1","4","4","1","1","-","2","1","2","3","2","-","-","3","3","2","2","1","5","1","3","2","2","3","1","5","3","5","1","1","5","7","2","5","5","3","6","6","6","5","9","5","13","6","7","11","9","11","7","9","15","8","14","6","7","21","11","17","16","15","21","14","13","12","16","35","11","16","22","14","31","8","23","23","8","24","9","11","9","5","28","708"
"686",NA,"Yes - a lot of difficulty","7","1","2","1","1","1","2","-","-","-","1","-","1","1","-","-","-","-","1","1","1","-","-","-","-","2","-","-","-","-","1","1","-","-","-","1","-","-","-","-","1","1","1","1","2","1","1","1","1","-","-","-","1","1","2","4","1","2","4","1","6","2","1","4","2","4","2","6","3","2","10","-","2","3","2","9","4","3","8","1","9","7","3","9","3","8","5","3","4","4","11","192"
"687",NA,"Yes - cannot walk at all","2","-","-","-","-","-","-","4","1","2","1","-","3","-","-","-","1","-","1","1","-","-","2","-","-","-","-","-","2","2","1","-","-","1","-","1","-","-","-","-","-","1","-","1","-","-","-","-","2","1","-","1","1","1","-","1","-","1","1","-","2","-","2","3","2","2","1","1","1","-","1","2","4","2","1","9","2","5","4","2","9","3","2","3","1","1","1","3","5","1","7","118"
"688",NA,"Total","708","686","724","795","803","771","822","838","745","821","937","861","861","893","900","849","751","877","875","794","1084","870","899","880","823","1052","787","984","904","909","1239","779","906","906","827","1251","730","926","987","790","1077","697","1018","908","714","1149","728","888","752","622","966","634","700","727","610","934","522","598","597","404","690","385","480","478","328","688","309","453","312","207","463","171","241","212","167","483","152","201","229","98","265","97","145","141","76","125","50","66","51","39","146","58037"
"689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690",NA,"AREA # 050103","Myaung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"692",NA,"Disability walking","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"693",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"694",NA,"No - no difficulty","674","659","748","796","822","830","863","860","757","850","904","820","995","949","970","963","837","888","971","815","1135","827","883","883","748","1092","795","843","874","851","1093","750","860","937","771","1179","814","912","918","743","1106","711","931","870","717","1123","795","829","781","628","916","675","669","763","637","825","521","646","619","550","641","485","523","541","364","575","297","422","285","214","379","148","205","247","179","375","154","170","185","88","206","99","108","115","64","106","38","59","29","25","94","57611"
"695",NA,"Yes - some difficulty","3","5","-","1","-","2","-","2","2","2","-","1","-","-","1","1","1","4","2","-","-","3","2","2","2","-","1","4","5","1","5","2","-","-","1","4","3","3","4","1","2","-","2","3","1","7","4","4","4","6","1","-","8","4","7","16","12","19","9","10","25","15","20","11","13","23","14","25","13","19","23","17","11","28","9","34","17","19","22","19","40","14","19","13","20","38","22","18","6","9","23","788"
"696",NA,"Yes - a lot of difficulty","5","1","-","-","1","-","-","-","-","2","-","-","-","-","-","-","1","-","-","-","-","-","1","1","-","-","1","-","1","-","-","1","1","-","1","1","1","1","2","1","1","-","1","-","-","-","-","2","2","2","2","-","4","-","-","4","2","3","2","1","7","2","4","2","2","6","6","6","3","2","7","6","6","5","2","5","4","8","8","6","14","3","11","8","2","6","-","1","-","5","18","214"
"697",NA,"Yes - cannot walk at all","-","-","-","-","2","-","-","2","-","1","-","-","1","1","1","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","1","-","-","-","-","-","1","-","2","-","2","1","1","2","-","-","1","3","1","1","-","2","-","-","3","2","1","1","1","1","3","-","4","3","1","2","-","2","1","1","2","3","1","7","2","10","1","6","3","5","3","4","4","1","-","14","121"
"698",NA,"Total","682","665","748","797","825","832","863","864","759","855","904","821","996","950","972","964","840","893","973","815","1135","830","886","886","750","1092","797","847","880","852","1098","753","862","937","773","1185","818","916","924","745","1109","712","934","875","718","1132","800","836","789","636","919","676","684","768","645","845","537","668","630","564","675","503","548","555","380","607","317","457","304","236","411","171","224","281","191","416","178","198","222","115","270","117","144","139","91","153","64","82","36","39","149","58734"
"699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"700",NA,"AREA # 050201","Shwebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702",NA,"Disability walking","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"704",NA,"No - no difficulty","1573","1604","1636","1831","1851","1704","1770","1956","1818","1886","1873","1894","2061","2152","2197","2249","2142","2281","2543","2338","2736","2206","2215","2090","1851","2330","1778","2023","2227","1922","2613","1886","2089","2136","1631","2434","1580","1860","1957","1653","2247","1447","1953","1806","1488","2309","1390","1708","1652","1327","1909","1249","1510","1431","1196","1740","1031","1085","1031","803","1279","696","859","902","679","1118","515","821","536","385","792","329","453","409","302","685","245","334","389","174","389","194","204","196","136","223","98","122","84","54","225","124715"
"705",NA,"Yes - some difficulty","9","5","5","2","3","1","2","4","3","5","6","3","2","6","2","5","2","4","3","2","7","3","2","5","4","6","4","5","2","2","8","2","3","6","4","8","3","3","5","3","14","7","6","9","5","14","3","9","7","6","18","13","10","19","10","29","17","19","16","22","27","19","13","23","15","33","23","38","24","18","33","15","26","34","23","58","21","32","36","13","65","20","24","29","21","42","26","24","26","9","70","1292"
"706",NA,"Yes - a lot of difficulty","4","2","1","1","2","1","1","2","2","2","2","3","4","3","-","4","-","4","-","1","-","2","1","2","1","-","-","2","1","2","-","1","3","2","-","-","1","1","1","1","3","-","4","5","-","4","2","4","3","1","3","1","2","4","4","9","2","4","1","-","4","-","4","6","4","7","4","6","3","3","14","4","10","6","2","12","3","4","5","7","14","4","10","4","5","15","1","8","5","6","30","326"
"707",NA,"Yes - cannot walk at all","1","-","1","4","4","2","3","4","1","-","1","-","1","1","3","1","1","-","1","1","-","1","2","2","1","1","2","1","1","-","1","-","2","1","1","1","3","-","1","1","-","-","2","2","2","1","1","-","-","3","2","2","2","1","1","3","1","2","2","4","4","2","4","1","-","5","3","2","5","2","7","4","2","3","3","9","4","7","7","2","12","4","7","4","8","8","8","6","6","5","27","254"
"708",NA,"Total","1587","1611","1643","1838","1860","1708","1776","1966","1824","1893","1882","1900","2068","2162","2202","2259","2145","2289","2547","2342","2743","2212","2220","2099","1857","2337","1784","2031","2231","1926","2622","1889","2097","2145","1636","2443","1587","1864","1964","1658","2264","1454","1965","1822","1495","2328","1396","1721","1662","1337","1932","1265","1524","1455","1211","1781","1051","1110","1050","829","1314","717","880","932","698","1163","545","867","568","408","846","352","491","452","330","764","273","377","437","196","480","222","245","233","170","288","133","160","121","74","352","126587"
"709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"710",NA,"AREA # 050202","Khin U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"712",NA,"Disability walking","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"713",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"714",NA,"No - no difficulty","996","1108","1089","1255","1296","1219","1248","1286","1215","1264","1296","1329","1488","1554","1344","1376","1304","1307","1490","1173","1605","1193","1300","1266","1115","1540","1043","1334","1338","1197","1734","1079","1250","1275","987","1693","1053","1209","1236","955","1442","861","1249","1160","790","1404","817","1047","995","718","1251","714","770","838","722","1008","540","651","642","469","811","406","466","528","343","644","309","470","282","218","506","177","260","252","183","427","165","224","240","97","282","89","132","120","85","142","47","75","50","35","162","77354"
"715",NA,"Yes - some difficulty","17","7","-","2","2","1","-","3","3","-","2","1","7","-","-","2","2","2","2","3","5","2","3","1","4","6","7","4","3","4","9","-","4","3","2","7","-","4","4","4","-","-","4","4","4","8","5","11","8","5","20","7","6","12","7","22","9","8","14","6","15","6","11","14","15","29","14","13","6","11","28","12","8","10","12","39","19","20","35","12","39","22","23","18","15","16","14","20","13","7","50","858"
"716",NA,"Yes - a lot of difficulty","-","-","-","-","-","2","-","-","1","-","-","-","-","1","2","-","2","1","1","-","1","1","-","-","-","-","1","1","1","-","-","-","-","-","2","3","1","1","1","-","-","4","-","1","1","2","1","-","3","-","1","-","1","2","-","1","1","-","-","-","3","1","1","-","-","7","2","4","2","1","3","2","4","5","4","6","1","7","9","4","10","3","3","9","3","6","2","9","3","2","16","173"
"717",NA,"Yes - cannot walk at all","2","-","-","2","1","2","3","1","1","1","3","-","2","-","1","1","1","2","-","1","1","1","-","1","1","4","-","1","-","1","2","-","-","1","-","-","1","-","-","-","1","-","1","-","-","1","-","-","-","-","1","1","2","1","-","2","1","1","1","1","3","1","3","1","-","-","1","3","-","3","6","2","1","1","1","6","2","3","1","2","6","6","4","2","2","5","3","3","3","2","15","143"
"718",NA,"Total","1015","1115","1089","1259","1299","1224","1251","1290","1220","1265","1301","1330","1497","1555","1347","1379","1309","1312","1493","1177","1612","1197","1303","1268","1120","1550","1051","1340","1342","1202","1745","1079","1254","1279","991","1703","1055","1214","1241","959","1443","865","1254","1165","795","1415","823","1058","1006","723","1273","722","779","853","729","1033","551","660","657","476","832","414","481","543","358","680","326","490","290","233","543","193","273","268","200","478","187","254","285","115","337","120","162","149","105","169","66","107","69","46","243","78528"
"719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",NA,"AREA # 050203","Wetlet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"722",NA,"Disability walking","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723",NA,NA,"Under 1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90 and above","Total"
"724",NA,"No - no difficulty","1327","1431","1438","1461","1479","1456","1446","1612","1581","1686","1770","1629","1775","1819","1707","1602","1484","1616","1808","1566","1958","1656","1671","1663","1448","1914","1498","1636","1729","1536","2084","1507","1622","1813","1405","2107","1389","1653","1718","1413","1962","1324","1768","1619","1285","1996","1202","1536","1408","1157","1721","1008","1176","1228","955","1513","890","947","901","656","1122","633","776","792","622","1116","482","776","525","345","780","286","358","399","258","707","198","311","339","164","361","165","195","175","103","197","75","78","60","51","191","104005"
"725",NA,"Yes - some difficulty","17","23","6","4","3","1","1","3","3","-","4","2","3","6","1","2","3","4","2","5","6","3","2","5","2","7","3","1","5","5","5","9","5","3","3","10","3","7","3","5","12","4","9","11","7","18","14","12","10","9","28","12","16","16","20","30","30","14","22","18","37","23","21","39","26","52","37","36","32","23","64","23","38","26","31","77","23","45","51","33","56","19","33","26","22","36","16","20","11","11","62","1546"
"726",NA,"Yes - a lot of difficulty","11","1","1","-","1","1","-","1","2","-","-","1","1","2","1","1","-","2","2","2","-","2","1","1","4","2","1","-","1","-","3","2","3","2","3","-","-","3","2","1","1","1","-","3","1","2","1","2","3","2","6","2","1","4","3","4","1","3","5","-","4","3","5","3","5","14","5","8","5","1","13","5","7","4","9","19","4","11","11","10","18","7","12","10","6","12","6","8","8","5","23","367"
